new_index,Year,County,BU / ACRE,county_small
2001-Nobles County,2001,NOBLES,111.0,Nobles County
2001-Norman County,2001,NORMAN,112.0,Norman County
2001-Other (Combined) Counties County,2001,OTHER (COMBINED) COUNTIES,85.0,Other (Combined) Counties County
2001-Other (Combined) Counties County,2001,OTHER (COMBINED) COUNTIES,89.0,Other (Combined) Counties County
2001-Other (Combined) Counties County,2001,OTHER (COMBINED) COUNTIES,99.7,Other (Combined) Counties County
2001-Otter Tail County,2001,OTTER TAIL,119.0,Otter Tail County
2001-Pennington County,2001,PENNINGTON,108.0,Pennington County
2001-Pine County,2001,PINE,99.0,Pine County
2001-Pipestone County,2001,PIPESTONE,135.0,Pipestone County
2001-Polk County,2001,POLK,113.0,Polk County
2001-Pope County,2001,POPE,138.0,Pope County
2001-Red Lake County,2001,RED LAKE,106.0,Red Lake County
2001-Redwood County,2001,REDWOOD,135.0,Redwood County
2001-Renville County,2001,RENVILLE,137.0,Renville County
2001-Rice County,2001,RICE,135.0,Rice County
2001-Rock County,2001,ROCK,130.0,Rock County
2001-Roseau County,2001,ROSEAU,102.0,Roseau County
2001-Scott County,2001,SCOTT,126.0,Scott County
2001-Sherburne County,2001,SHERBURNE,113.0,Sherburne County
2001-Sibley County,2001,SIBLEY,135.0,Sibley County
2001-Stearns County,2001,STEARNS,114.0,Stearns County
2001-Steele County,2001,STEELE,138.0,Steele County
2001-Stevens County,2001,STEVENS,137.0,Stevens County
2001-Swift County,2001,SWIFT,137.0,Swift County
2001-Todd County,2001,TODD,104.0,Todd County
2001-Traverse County,2001,TRAVERSE,139.0,Traverse County
2001-Wadena County,2001,WADENA,107.0,Wadena County
2001-Waseca County,2001,WASECA,140.0,Waseca County
2001-Washington County,2001,WASHINGTON,115.0,Washington County
2001-Watonwan County,2001,WATONWAN,134.0,Watonwan County
2001-Wilkin County,2001,WILKIN,111.0,Wilkin County
2001-Wright County,2001,WRIGHT,126.0,Wright County
2001-Yellow Medicine County,2001,YELLOW MEDICINE,137.0,Yellow Medicine County
2002-Anoka County,2002,ANOKA,126.0,Anoka County
2002-Becker County,2002,BECKER,120.0,Becker County
2002-Beltrami County,2002,BELTRAMI,102.0,Beltrami County
2002-Benton County,2002,BENTON,127.0,Benton County
2002-Big Stone County,2002,BIG STONE,146.0,Big Stone County
2002-Blue Earth County,2002,BLUE EARTH,163.0,Blue Earth County
2002-Brown County,2002,BROWN,152.0,Brown County
2002-Carlton County,2002,CARLTON,98.0,Carlton County
2002-Carver County,2002,CARVER,161.0,Carver County
2002-Cass County,2002,CASS,131.0,Cass County
2002-Chippewa County,2002,CHIPPEWA,169.0,Chippewa County
2002-Chisago County,2002,CHISAGO,138.0,Chisago County
2002-Clay County,2002,CLAY,130.0,Clay County
2002-Clearwater County,2002,CLEARWATER,115.0,Clearwater County
2002-Cottonwood County,2002,COTTONWOOD,152.0,Cottonwood County
2002-Crow Wing County,2002,CROW WING,119.0,Crow Wing County
2002-Douglas County,2002,DOUGLAS,146.0,Douglas County
2002-Faribault County,2002,FARIBAULT,170.0,Faribault County
2002-Freeborn County,2002,FREEBORN,173.0,Freeborn County
2002-Grant County,2002,GRANT,162.0,Grant County
2002-Hennepin County,2002,HENNEPIN,148.0,Hennepin County
2002-Hubbard County,2002,HUBBARD,160.0,Hubbard County
2002-Isanti County,2002,ISANTI,130.0,Isanti County
2002-Jackson County,2002,JACKSON,150.0,Jackson County
2002-Kanabec County,2002,KANABEC,137.0,Kanabec County
2002-Kandiyohi County,2002,KANDIYOHI,166.0,Kandiyohi County
2002-Kittson County,2002,KITTSON,105.0,Kittson County
2002-Lac Qui Parle County,2002,LAC QUI PARLE,151.0,Lac Qui Parle County
2002-Le Sueur County,2002,LE SUEUR,157.0,Le Sueur County
2002-Lincoln County,2002,LINCOLN,139.0,Lincoln County
2002-Lyon County,2002,LYON,153.0,Lyon County
2002-Mahnomen County,2002,MAHNOMEN,119.0,Mahnomen County
2002-Marshall County,2002,MARSHALL,116.0,Marshall County
2002-Martin County,2002,MARTIN,172.0,Martin County
2002-Mcleod County,2002,MCLEOD,163.0,Mcleod County
2002-Meeker County,2002,MEEKER,157.0,Meeker County
2002-Mille Lacs County,2002,MILLE LACS,127.0,Mille Lacs County
2002-Morrison County,2002,MORRISON,135.0,Morrison County
2002-Murray County,2002,MURRAY,143.0,Murray County
2002-Nicollet County,2002,NICOLLET,162.0,Nicollet County
2002-Nobles County,2002,NOBLES,135.0,Nobles County
2002-Norman County,2002,NORMAN,114.0,Norman County
2002-Other (Combined) Counties County,2002,OTHER (COMBINED) COUNTIES,117.3,Other (Combined) Counties County
2002-Other (Combined) Counties County,2002,OTHER (COMBINED) COUNTIES,104.0,Other (Combined) Counties County
2002-Other (Combined) Counties County,2002,OTHER (COMBINED) COUNTIES,120.6,Other (Combined) Counties County
2002-Otter Tail County,2002,OTTER TAIL,139.0,Otter Tail County
2002-Pennington County,2002,PENNINGTON,123.0,Pennington County
2002-Pine County,2002,PINE,124.0,Pine County
2002-Pipestone County,2002,PIPESTONE,136.0,Pipestone County
2002-Polk County,2002,POLK,118.0,Polk County
2002-Pope County,2002,POPE,164.0,Pope County
2002-Red Lake County,2002,RED LAKE,117.0,Red Lake County
2002-Redwood County,2002,REDWOOD,155.0,Redwood County
2002-Renville County,2002,RENVILLE,169.0,Renville County
2002-Rice County,2002,RICE,165.0,Rice County
2002-Rock County,2002,ROCK,145.0,Rock County
2002-Roseau County,2002,ROSEAU,89.0,Roseau County
2002-Scott County,2002,SCOTT,163.0,Scott County
2002-Sherburne County,2002,SHERBURNE,147.0,Sherburne County
2002-Sibley County,2002,SIBLEY,168.0,Sibley County
2002-Stearns County,2002,STEARNS,155.0,Stearns County
2002-Steele County,2002,STEELE,167.0,Steele County
2002-Stevens County,2002,STEVENS,165.0,Stevens County
2002-Swift County,2002,SWIFT,170.0,Swift County
2002-Todd County,2002,TODD,132.0,Todd County
2002-Traverse County,2002,TRAVERSE,161.0,Traverse County
2002-Wadena County,2002,WADENA,128.0,Wadena County
2002-Waseca County,2002,WASECA,165.0,Waseca County
2002-Washington County,2002,WASHINGTON,165.0,Washington County
2002-Watonwan County,2002,WATONWAN,167.0,Watonwan County
2002-Wilkin County,2002,WILKIN,135.0,Wilkin County
2002-Wright County,2002,WRIGHT,143.0,Wright County
2002-Yellow Medicine County,2002,YELLOW MEDICINE,148.0,Yellow Medicine County
2003-Anoka County,2003,ANOKA,86.0,Anoka County
2003-Becker County,2003,BECKER,101.0,Becker County
2003-Beltrami County,2003,BELTRAMI,68.0,Beltrami County
2003-Benton County,2003,BENTON,118.0,Benton County
2003-Big Stone County,2003,BIG STONE,117.0,Big Stone County
2003-Blue Earth County,2003,BLUE EARTH,164.0,Blue Earth County
2003-Brown County,2003,BROWN,157.0,Brown County
2003-Carlton County,2003,CARLTON,80.0,Carlton County
2003-Carver County,2003,CARVER,145.0,Carver County
2003-Cass County,2003,CASS,108.0,Cass County
2003-Chippewa County,2003,CHIPPEWA,153.0,Chippewa County
2003-Chisago County,2003,CHISAGO,101.0,Chisago County
2003-Clay County,2003,CLAY,117.0,Clay County
2003-Clearwater County,2003,CLEARWATER,107.0,Clearwater County
2003-Cottonwood County,2003,COTTONWOOD,147.0,Cottonwood County
2003-Crow Wing County,2003,CROW WING,90.0,Crow Wing County
2003-Douglas County,2003,DOUGLAS,128.0,Douglas County
2003-Faribault County,2003,FARIBAULT,170.0,Faribault County
2003-Freeborn County,2003,FREEBORN,168.0,Freeborn County
2003-Grant County,2003,GRANT,137.0,Grant County
2003-Hennepin County,2003,HENNEPIN,122.0,Hennepin County
2003-Hubbard County,2003,HUBBARD,131.0,Hubbard County
2003-Isanti County,2003,ISANTI,96.0,Isanti County
2003-Jackson County,2003,JACKSON,152.0,Jackson County
2003-Kanabec County,2003,KANABEC,81.0,Kanabec County
2003-Kandiyohi County,2003,KANDIYOHI,151.0,Kandiyohi County
2003-Kittson County,2003,KITTSON,115.0,Kittson County
2003-Lac Qui Parle County,2003,LAC QUI PARLE,123.0,Lac Qui Parle County
2003-Le Sueur County,2003,LE SUEUR,158.0,Le Sueur County
2003-Lincoln County,2003,LINCOLN,142.0,Lincoln County
2003-Lyon County,2003,LYON,140.0,Lyon County
2003-Mahnomen County,2003,MAHNOMEN,116.0,Mahnomen County
2003-Marshall County,2003,MARSHALL,112.0,Marshall County
2003-Martin County,2003,MARTIN,170.0,Martin County
2003-Mcleod County,2003,MCLEOD,153.0,Mcleod County
2003-Meeker County,2003,MEEKER,137.0,Meeker County
2003-Mille Lacs County,2003,MILLE LACS,88.0,Mille Lacs County
2003-Morrison County,2003,MORRISON,85.0,Morrison County
2003-Murray County,2003,MURRAY,144.0,Murray County
2003-Nicollet County,2003,NICOLLET,172.0,Nicollet County
2003-Nobles County,2003,NOBLES,141.0,Nobles County
2003-Norman County,2003,NORMAN,126.0,Norman County
2003-Other (Combined) Counties County,2003,OTHER (COMBINED) COUNTIES,60.0,Other (Combined) Counties County
2003-Other (Combined) Counties County,2003,OTHER (COMBINED) COUNTIES,82.0,Other (Combined) Counties County
2003-Other (Combined) Counties County,2003,OTHER (COMBINED) COUNTIES,111.5,Other (Combined) Counties County
2003-Otter Tail County,2003,OTTER TAIL,132.0,Otter Tail County
2003-Pennington County,2003,PENNINGTON,107.0,Pennington County
2003-Pine County,2003,PINE,92.0,Pine County
2003-Pipestone County,2003,PIPESTONE,141.0,Pipestone County
2003-Polk County,2003,POLK,107.0,Polk County
2003-Pope County,2003,POPE,140.0,Pope County
2003-Red Lake County,2003,RED LAKE,108.0,Red Lake County
2003-Redwood County,2003,REDWOOD,152.0,Redwood County
2003-Renville County,2003,RENVILLE,155.0,Renville County
2003-Rice County,2003,RICE,155.0,Rice County
2003-Rock County,2003,ROCK,146.0,Rock County
2003-Roseau County,2003,ROSEAU,115.0,Roseau County
2003-Scott County,2003,SCOTT,147.0,Scott County
2003-Sherburne County,2003,SHERBURNE,128.0,Sherburne County
2003-Sibley County,2003,SIBLEY,159.0,Sibley County
2003-Stearns County,2003,STEARNS,122.0,Stearns County
2003-Steele County,2003,STEELE,155.0,Steele County
2003-Stevens County,2003,STEVENS,154.0,Stevens County
2003-Swift County,2003,SWIFT,143.0,Swift County
2003-Todd County,2003,TODD,101.0,Todd County
2003-Traverse County,2003,TRAVERSE,128.0,Traverse County
2003-Wadena County,2003,WADENA,105.0,Wadena County
2003-Waseca County,2003,WASECA,169.0,Waseca County
2003-Washington County,2003,WASHINGTON,120.0,Washington County
2003-Watonwan County,2003,WATONWAN,166.0,Watonwan County
2003-Wilkin County,2003,WILKIN,119.0,Wilkin County
2003-Wright County,2003,WRIGHT,118.0,Wright County
2003-Yellow Medicine County,2003,YELLOW MEDICINE,141.0,Yellow Medicine County
2004-Anoka County,2004,ANOKA,84.0,Anoka County
2004-Becker County,2004,BECKER,69.0,Becker County
2004-Benton County,2004,BENTON,122.0,Benton County
2004-Big Stone County,2004,BIG STONE,149.0,Big Stone County
2004-Blue Earth County,2004,BLUE EARTH,180.0,Blue Earth County
2004-Brown County,2004,BROWN,180.0,Brown County
2004-Carver County,2004,CARVER,166.0,Carver County
2004-Chippewa County,2004,CHIPPEWA,158.0,Chippewa County
2004-Chisago County,2004,CHISAGO,115.0,Chisago County
2004-Clay County,2004,CLAY,104.0,Clay County
2004-Cottonwood County,2004,COTTONWOOD,175.0,Cottonwood County
2004-Crow Wing County,2004,CROW WING,81.0,Crow Wing County
2004-Douglas County,2004,DOUGLAS,128.0,Douglas County
2004-Faribault County,2004,FARIBAULT,182.0,Faribault County
2004-Freeborn County,2004,FREEBORN,177.0,Freeborn County
2004-Grant County,2004,GRANT,145.0,Grant County
2004-Hennepin County,2004,HENNEPIN,151.0,Hennepin County
2004-Hubbard County,2004,HUBBARD,89.0,Hubbard County
2004-Isanti County,2004,ISANTI,112.0,Isanti County
2004-Jackson County,2004,JACKSON,180.0,Jackson County
2004-Kanabec County,2004,KANABEC,94.0,Kanabec County
2004-Kandiyohi County,2004,KANDIYOHI,155.0,Kandiyohi County
2004-Lac Qui Parle County,2004,LAC QUI PARLE,150.0,Lac Qui Parle County
2004-Le Sueur County,2004,LE SUEUR,172.0,Le Sueur County
2004-Lincoln County,2004,LINCOLN,142.0,Lincoln County
2004-Lyon County,2004,LYON,160.0,Lyon County
2004-Mahnomen County,2004,MAHNOMEN,68.0,Mahnomen County
2004-Martin County,2004,MARTIN,192.0,Martin County
2004-Mcleod County,2004,MCLEOD,156.0,Mcleod County
2004-Meeker County,2004,MEEKER,151.0,Meeker County
2004-Mille Lacs County,2004,MILLE LACS,122.0,Mille Lacs County
2004-Morrison County,2004,MORRISON,92.0,Morrison County
2004-Murray County,2004,MURRAY,159.0,Murray County
2004-Nicollet County,2004,NICOLLET,173.0,Nicollet County
2004-Nobles County,2004,NOBLES,166.0,Nobles County
2004-Norman County,2004,NORMAN,89.0,Norman County
2004-Other (Combined) Counties County,2004,OTHER (COMBINED) COUNTIES,60.0,Other (Combined) Counties County
2004-Other (Combined) Counties County,2004,OTHER (COMBINED) COUNTIES,67.7,Other (Combined) Counties County
2004-Other (Combined) Counties County,2004,OTHER (COMBINED) COUNTIES,51.8,Other (Combined) Counties County
2004-Other (Combined) Counties County,2004,OTHER (COMBINED) COUNTIES,78.5,Other (Combined) Counties County
2004-Otter Tail County,2004,OTTER TAIL,118.0,Otter Tail County
2004-Pine County,2004,PINE,118.0,Pine County
2004-Pipestone County,2004,PIPESTONE,143.0,Pipestone County
2004-Polk County,2004,POLK,76.0,Polk County
2004-Pope County,2004,POPE,135.0,Pope County
2004-Red Lake County,2004,RED LAKE,49.0,Red Lake County
2004-Redwood County,2004,REDWOOD,171.0,Redwood County
2004-Renville County,2004,RENVILLE,164.0,Renville County
2004-Rice County,2004,RICE,170.0,Rice County
2004-Rock County,2004,ROCK,158.0,Rock County
2004-Scott County,2004,SCOTT,170.0,Scott County
2004-Sherburne County,2004,SHERBURNE,141.0,Sherburne County
2004-Sibley County,2004,SIBLEY,170.0,Sibley County
2004-Stearns County,2004,STEARNS,144.0,Stearns County
2004-Steele County,2004,STEELE,169.0,Steele County
2004-Stevens County,2004,STEVENS,148.0,Stevens County
2004-Swift County,2004,SWIFT,142.0,Swift County
2004-Todd County,2004,TODD,104.0,Todd County
2004-Traverse County,2004,TRAVERSE,149.0,Traverse County
2004-Wadena County,2004,WADENA,93.0,Wadena County
2004-Waseca County,2004,WASECA,180.0,Waseca County
2004-Washington County,2004,WASHINGTON,140.0,Washington County
2004-Watonwan County,2004,WATONWAN,190.0,Watonwan County
2004-Wilkin County,2004,WILKIN,127.0,Wilkin County
2004-Wright County,2004,WRIGHT,147.0,Wright County
2004-Yellow Medicine County,2004,YELLOW MEDICINE,158.0,Yellow Medicine County
2005-Anoka County,2005,ANOKA,96.0,Anoka County
2005-Becker County,2005,BECKER,125.0,Becker County
2005-Benton County,2005,BENTON,142.0,Benton County
2005-Big Stone County,2005,BIG STONE,169.0,Big Stone County
2005-Blue Earth County,2005,BLUE EARTH,184.0,Blue Earth County
2005-Brown County,2005,BROWN,176.0,Brown County
2005-Carver County,2005,CARVER,171.0,Carver County
2005-Cass County,2005,CASS,124.0,Cass County
2005-Chippewa County,2005,CHIPPEWA,176.0,Chippewa County
2005-Chisago County,2005,CHISAGO,127.0,Chisago County
2005-Clay County,2005,CLAY,145.0,Clay County
2005-Clearwater County,2005,CLEARWATER,91.0,Clearwater County
2005-Cottonwood County,2005,COTTONWOOD,184.0,Cottonwood County
2005-Crow Wing County,2005,CROW WING,91.0,Crow Wing County
2005-Douglas County,2005,DOUGLAS,160.0,Douglas County
2005-Faribault County,2005,FARIBAULT,190.0,Faribault County
2005-Freeborn County,2005,FREEBORN,184.0,Freeborn County
2005-Grant County,2005,GRANT,166.0,Grant County
2005-Hennepin County,2005,HENNEPIN,156.0,Hennepin County
2005-Hubbard County,2005,HUBBARD,156.0,Hubbard County
2005-Isanti County,2005,ISANTI,107.0,Isanti County
2005-Jackson County,2005,JACKSON,186.0,Jackson County
2005-Kanabec County,2005,KANABEC,71.0,Kanabec County
2005-Kandiyohi County,2005,KANDIYOHI,178.0,Kandiyohi County
2005-Lac Qui Parle County,2005,LAC QUI PARLE,165.0,Lac Qui Parle County
2005-Le Sueur County,2005,LE SUEUR,160.0,Le Sueur County
2005-Lincoln County,2005,LINCOLN,176.0,Lincoln County
2005-Lyon County,2005,LYON,180.0,Lyon County
2005-Mahnomen County,2005,MAHNOMEN,124.0,Mahnomen County
2005-Marshall County,2005,MARSHALL,90.0,Marshall County
2005-Martin County,2005,MARTIN,190.0,Martin County
2005-Mcleod County,2005,MCLEOD,181.0,Mcleod County
2005-Meeker County,2005,MEEKER,159.0,Meeker County
2005-Mille Lacs County,2005,MILLE LACS,114.0,Mille Lacs County
2005-Morrison County,2005,MORRISON,131.0,Morrison County
2005-Murray County,2005,MURRAY,182.0,Murray County
2005-Nicollet County,2005,NICOLLET,174.0,Nicollet County
2005-Nobles County,2005,NOBLES,187.0,Nobles County
2005-Norman County,2005,NORMAN,131.0,Norman County
2005-Other (Combined) Counties County,2005,OTHER (COMBINED) COUNTIES,98.6,Other (Combined) Counties County
2005-Other (Combined) Counties County,2005,OTHER (COMBINED) COUNTIES,94.6,Other (Combined) Counties County
2005-Other (Combined) Counties County,2005,OTHER (COMBINED) COUNTIES,96.6,Other (Combined) Counties County
2005-Other (Combined) Counties County,2005,OTHER (COMBINED) COUNTIES,0.0,Other (Combined) Counties County
2005-Otter Tail County,2005,OTTER TAIL,139.0,Otter Tail County
2005-Pine County,2005,PINE,99.0,Pine County
2005-Pipestone County,2005,PIPESTONE,176.0,Pipestone County
2005-Polk County,2005,POLK,124.0,Polk County
2005-Pope County,2005,POPE,165.0,Pope County
2005-Red Lake County,2005,RED LAKE,118.0,Red Lake County
2005-Redwood County,2005,REDWOOD,183.0,Redwood County
2005-Renville County,2005,RENVILLE,183.0,Renville County
2005-Rice County,2005,RICE,173.0,Rice County
2005-Rock County,2005,ROCK,190.0,Rock County
2005-Roseau County,2005,ROSEAU,111.0,Roseau County
2005-Scott County,2005,SCOTT,163.0,Scott County
2005-Sherburne County,2005,SHERBURNE,158.0,Sherburne County
2005-Sibley County,2005,SIBLEY,182.0,Sibley County
2005-Stearns County,2005,STEARNS,144.0,Stearns County
2005-Steele County,2005,STEELE,182.0,Steele County
2005-Stevens County,2005,STEVENS,170.0,Stevens County
2005-Swift County,2005,SWIFT,180.0,Swift County
2005-Todd County,2005,TODD,131.0,Todd County
2005-Traverse County,2005,TRAVERSE,160.0,Traverse County
2005-Wadena County,2005,WADENA,148.0,Wadena County
2005-Waseca County,2005,WASECA,187.0,Waseca County
2005-Washington County,2005,WASHINGTON,168.0,Washington County
2005-Watonwan County,2005,WATONWAN,188.0,Watonwan County
2005-Wilkin County,2005,WILKIN,142.0,Wilkin County
2005-Wright County,2005,WRIGHT,152.0,Wright County
2005-Yellow Medicine County,2005,YELLOW MEDICINE,166.0,Yellow Medicine County
2006-Anoka County,2006,ANOKA,98.0,Anoka County
2006-Becker County,2006,BECKER,126.0,Becker County
2006-Benton County,2006,BENTON,110.0,Benton County
2006-Big Stone County,2006,BIG STONE,155.0,Big Stone County
2006-Blue Earth County,2006,BLUE EARTH,175.0,Blue Earth County
2006-Brown County,2006,BROWN,173.0,Brown County
2006-Carver County,2006,CARVER,163.0,Carver County
2006-Chippewa County,2006,CHIPPEWA,167.0,Chippewa County
2006-Chisago County,2006,CHISAGO,113.0,Chisago County
2006-Clay County,2006,CLAY,124.0,Clay County
2006-Clearwater County,2006,CLEARWATER,68.0,Clearwater County
2006-Cottonwood County,2006,COTTONWOOD,172.0,Cottonwood County
2006-Crow Wing County,2006,CROW WING,67.0,Crow Wing County
2006-Douglas County,2006,DOUGLAS,119.0,Douglas County
2006-Faribault County,2006,FARIBAULT,180.0,Faribault County
2006-Freeborn County,2006,FREEBORN,173.0,Freeborn County
2006-Grant County,2006,GRANT,146.0,Grant County
2006-Hennepin County,2006,HENNEPIN,135.0,Hennepin County
2006-Isanti County,2006,ISANTI,102.0,Isanti County
2006-Jackson County,2006,JACKSON,160.0,Jackson County
2006-Kanabec County,2006,KANABEC,78.0,Kanabec County
2006-Kandiyohi County,2006,KANDIYOHI,160.0,Kandiyohi County
2006-Kittson County,2006,KITTSON,98.0,Kittson County
2006-Lac Qui Parle County,2006,LAC QUI PARLE,159.0,Lac Qui Parle County
2006-Le Sueur County,2006,LE SUEUR,170.0,Le Sueur County
2006-Lincoln County,2006,LINCOLN,151.0,Lincoln County
2006-Lyon County,2006,LYON,165.0,Lyon County
2006-Mahnomen County,2006,MAHNOMEN,124.0,Mahnomen County
2006-Marshall County,2006,MARSHALL,99.0,Marshall County
2006-Martin County,2006,MARTIN,181.0,Martin County
2006-Mcleod County,2006,MCLEOD,176.0,Mcleod County
2006-Meeker County,2006,MEEKER,149.0,Meeker County
2006-Mille Lacs County,2006,MILLE LACS,91.0,Mille Lacs County
2006-Morrison County,2006,MORRISON,88.0,Morrison County
2006-Murray County,2006,MURRAY,165.0,Murray County
2006-Nicollet County,2006,NICOLLET,180.0,Nicollet County
2006-Nobles County,2006,NOBLES,164.0,Nobles County
2006-Norman County,2006,NORMAN,123.0,Norman County
2006-Other (Combined) Counties County,2006,OTHER (COMBINED) COUNTIES,112.9,Other (Combined) Counties County
2006-Other (Combined) Counties County,2006,OTHER (COMBINED) COUNTIES,116.7,Other (Combined) Counties County
2006-Otter Tail County,2006,OTTER TAIL,124.0,Otter Tail County
2006-Pennington County,2006,PENNINGTON,80.0,Pennington County
2006-Pine County,2006,PINE,97.0,Pine County
2006-Pipestone County,2006,PIPESTONE,151.0,Pipestone County
2006-Polk County,2006,POLK,102.0,Polk County
2006-Pope County,2006,POPE,129.0,Pope County
2006-Red Lake County,2006,RED LAKE,92.0,Red Lake County
2006-Redwood County,2006,REDWOOD,177.0,Redwood County
2006-Renville County,2006,RENVILLE,177.0,Renville County
2006-Rice County,2006,RICE,169.0,Rice County
2006-Rock County,2006,ROCK,166.0,Rock County
2006-Roseau County,2006,ROSEAU,94.0,Roseau County
2006-Scott County,2006,SCOTT,155.0,Scott County
2006-Sherburne County,2006,SHERBURNE,140.0,Sherburne County
2006-Sibley County,2006,SIBLEY,181.0,Sibley County
2006-Stearns County,2006,STEARNS,115.0,Stearns County
2006-Steele County,2006,STEELE,178.0,Steele County
2006-Stevens County,2006,STEVENS,161.0,Stevens County
2006-Swift County,2006,SWIFT,161.0,Swift County
2006-Todd County,2006,TODD,91.0,Todd County
2006-Traverse County,2006,TRAVERSE,145.0,Traverse County
2006-Wadena County,2006,WADENA,96.0,Wadena County
2006-Waseca County,2006,WASECA,181.0,Waseca County
2006-Washington County,2006,WASHINGTON,138.0,Washington County
2006-Watonwan County,2006,WATONWAN,178.0,Watonwan County
2006-Wilkin County,2006,WILKIN,130.0,Wilkin County
2006-Wright County,2006,WRIGHT,132.0,Wright County
2006-Yellow Medicine County,2006,YELLOW MEDICINE,156.0,Yellow Medicine County
2007-Aitkin County,2007,AITKIN,80.0,Aitkin County
2007-Anoka County,2007,ANOKA,100.0,Anoka County
2007-Becker County,2007,BECKER,119.0,Becker County
2007-Benton County,2007,BENTON,67.0,Benton County
2007-Big Stone County,2007,BIG STONE,128.0,Big Stone County
2007-Blue Earth County,2007,BLUE EARTH,157.0,Blue Earth County
2007-Brown County,2007,BROWN,157.0,Brown County
2007-Carver County,2007,CARVER,142.0,Carver County
2007-Chippewa County,2007,CHIPPEWA,144.0,Chippewa County
2007-Chisago County,2007,CHISAGO,92.0,Chisago County
2007-Clay County,2007,CLAY,127.0,Clay County
2007-Clearwater County,2007,CLEARWATER,105.0,Clearwater County
2007-Cottonwood County,2007,COTTONWOOD,164.0,Cottonwood County
2007-Crow Wing County,2007,CROW WING,59.0,Crow Wing County
2007-Douglas County,2007,DOUGLAS,104.0,Douglas County
2007-Faribault County,2007,FARIBAULT,176.0,Faribault County
2007-Freeborn County,2007,FREEBORN,173.0,Freeborn County
2007-Grant County,2007,GRANT,132.0,Grant County
2007-Hennepin County,2007,HENNEPIN,100.0,Hennepin County
2007-Isanti County,2007,ISANTI,86.0,Isanti County
2007-Jackson County,2007,JACKSON,163.0,Jackson County
2007-Kanabec County,2007,KANABEC,71.0,Kanabec County
2007-Kandiyohi County,2007,KANDIYOHI,138.0,Kandiyohi County
2007-Kittson County,2007,KITTSON,106.0,Kittson County
2007-Lac Qui Parle County,2007,LAC QUI PARLE,137.0,Lac Qui Parle County
2007-Le Sueur County,2007,LE SUEUR,144.0,Le Sueur County
2007-Lincoln County,2007,LINCOLN,153.0,Lincoln County
2007-Lyon County,2007,LYON,150.0,Lyon County
2007-Mahnomen County,2007,MAHNOMEN,119.0,Mahnomen County
2007-Marshall County,2007,MARSHALL,110.0,Marshall County
2007-Martin County,2007,MARTIN,165.0,Martin County
2007-Mcleod County,2007,MCLEOD,139.9,Mcleod County
2007-Meeker County,2007,MEEKER,119.9,Meeker County
2007-Mille Lacs County,2007,MILLE LACS,67.0,Mille Lacs County
2007-Morrison County,2007,MORRISON,62.0,Morrison County
2007-Murray County,2007,MURRAY,153.0,Murray County
2007-Nicollet County,2007,NICOLLET,145.0,Nicollet County
2007-Nobles County,2007,NOBLES,157.0,Nobles County
2007-Norman County,2007,NORMAN,124.0,Norman County
2007-Other (Combined) Counties County,2007,OTHER (COMBINED) COUNTIES,99.6,Other (Combined) Counties County
2007-Otter Tail County,2007,OTTER TAIL,115.0,Otter Tail County
2007-Pennington County,2007,PENNINGTON,101.0,Pennington County
2007-Pine County,2007,PINE,98.0,Pine County
2007-Pipestone County,2007,PIPESTONE,140.0,Pipestone County
2007-Polk County,2007,POLK,115.0,Polk County
2007-Pope County,2007,POPE,124.0,Pope County
2007-Red Lake County,2007,RED LAKE,116.0,Red Lake County
2007-Redwood County,2007,REDWOOD,156.0,Redwood County
2007-Renville County,2007,RENVILLE,145.1,Renville County
2007-Rice County,2007,RICE,151.0,Rice County
2007-Rock County,2007,ROCK,160.0,Rock County
2007-Roseau County,2007,ROSEAU,96.0,Roseau County
2007-Scott County,2007,SCOTT,122.0,Scott County
2007-Sherburne County,2007,SHERBURNE,122.0,Sherburne County
2007-Sibley County,2007,SIBLEY,148.0,Sibley County
2007-Stearns County,2007,STEARNS,96.0,Stearns County
2007-Steele County,2007,STEELE,175.0,Steele County
2007-Stevens County,2007,STEVENS,142.1,Stevens County
2007-Swift County,2007,SWIFT,137.0,Swift County
2007-Todd County,2007,TODD,85.0,Todd County
2007-Traverse County,2007,TRAVERSE,130.0,Traverse County
2007-Wadena County,2007,WADENA,117.0,Wadena County
2007-Waseca County,2007,WASECA,155.0,Waseca County
2007-Washington County,2007,WASHINGTON,111.0,Washington County
2007-Watonwan County,2007,WATONWAN,164.0,Watonwan County
2007-Wilkin County,2007,WILKIN,113.0,Wilkin County
2007-Wright County,2007,WRIGHT,102.0,Wright County
2007-Yellow Medicine County,2007,YELLOW MEDICINE,148.9,Yellow Medicine County
2008-Anoka County,2008,ANOKA,117.0,Anoka County
2008-Benton County,2008,BENTON,136.0,Benton County
2008-Big Stone County,2008,BIG STONE,156.0,Big Stone County
2008-Blue Earth County,2008,BLUE EARTH,175.0,Blue Earth County
2008-Brown County,2008,BROWN,180.0,Brown County
2008-Carver County,2008,CARVER,167.0,Carver County
2008-Chippewa County,2008,CHIPPEWA,156.0,Chippewa County
2008-Chisago County,2008,CHISAGO,135.0,Chisago County
2008-Clay County,2008,CLAY,147.0,Clay County
2008-Clearwater County,2008,CLEARWATER,116.0,Clearwater County
2008-Cottonwood County,2008,COTTONWOOD,168.0,Cottonwood County
2008-Douglas County,2008,DOUGLAS,138.0,Douglas County
